ID,MARCA,MODELO,VERSION,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Comb.,Segmento,Puertas,Traccion
,ALFA ROMEO,SPIDER,3.2 JTS MEDIUM,,,,," $ 280,000 "," $ 270,000 "," $ 260,000 ",,,,,,,,,,,,,
,AUDI,A1,1.2T ATTRACTION," $ 240,000 "," $ 230,000 "," $ 220,000 ",,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T AMBITION," $ 310,000 "," $ 280,000 "," $ 255,000 ",,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T AMBITION SECURITY,," $ 300,000 "," $ 275,000 ",,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T AMBITION SECURITY STRONIC,," $ 320,000 "," $ 290,000 ",,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T AMBITION STRONIC," $ 330,000 "," $ 295,000 "," $ 270,000 ",,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T AMBITION TECHNO,," $ 290,000 ",,,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T AMBITION TECHNO STRONIC,," $ 305,000 ",,,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T ATTRACTION,," $ 260,000 "," $ 235,000 ",,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T ATTRACTION SECURITY,," $ 280,000 "," $ 255,000 ",,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T ATTRACTION SECURITY STRO.,," $ 300,000 "," $ 270,000 ",,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T ATTRACTIONSTRONIC,," $ 275,000 "," $ 250,000 ",,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T S LINE STRONIC," $ 470,000 "," $ 430,000 "," $ 390,000 ",,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T S LINE STRONIC TECHNO,," $ 450,000 "," $ 410,000 ",,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T SPORTBACK AMBITION," $ 340,000 ",,,,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T SPORTBACK AMBITION STRONIC," $ 365,000 ",,,,,,,,,,,,,,,,,,,
,AUDI,A1,1.4T SPORTBACK S LINE STRONIC," $ 500,000 ",,,,,,,,,,,,,,,,,,,
,AUDI,A3,1.4T S FSI," $ 330,000 "," $ 280,000 "," $ 250,000 "," $ 230,000 ",,,,,,,,,,,,,,,,
,AUDI,A3,1.4T S FSI L/3," $ 420,000 ",,,,,,,,,,,,,,,,,,,
,AUDI,A3,1.4T S FSI L/3 TECHNOLOGY," $ 440,000 ",,,,,,,,,,,,,,,,,,,
,AUDI,A3,1.4T FSI PLUS," $ 350,000 "," $ 295,000 "," $ 260,000 ",,,,,,,,,,,,,,,,,
,AUDI,A3,1.4T FSI S TRONIC," $ 340,000 "," $ 290,000 "," $ 260,000 "," $ 240,000 ",,,,,,,,,,,,,,,,
,AUDI,A3,1.4T S-TRONIC L/13," $ 470,000 ",,,,,,,,,,,,,,,,,,,
,AUDI,A3,1.4T S-TRONIC L/13 TECHNOLO," $ 490,000 ",,,,,,,,,,,,,,,,,,,
,AUDI,A3,1.6 3 PTAS,,,,,,,,,," $ 90,000 "," $ 86,000 "," $ 82,000 "," $ 78,000 "," $ 74,000 "," $ 70,000 ",,,,,
,AUDI,A3,1.6 3 PTAS L/N," $ 260,000 "," $ 235,000 "," $ 215,000 "," $ 195,000 "," $ 175,000 "," $ 160,000 "," $ 150,000 "," $ 140,000 "," $ 130,000 "," $ 120,000 ",,,,,,,,,,
,AUDI,A3,1.6 3 PTAS L/N PLUS,," $ 245,000 "," $ 225,000 "," $ 205,000 "," $ 185,000 "," $ 170,000 "," $ 160,000 "," $ 150,000 "," $ 140,000 "," $ 130,000 ",,,,,,,,,,
,AUDI,A3,1.6 3 PTAS L/N PREMIUM CUERO," $ 290,000 "," $ 260,000 "," $ 235,000 "," $ 215,000 "," $ 195,000 "," $ 180,000 "," $ 170,000 "," $ 160,000 "," $ 150,000 "," $ 140,000 ",,,,,,,,,,
,AUDI,A3,1.6 5 PTAS,,,,,,,,,," $ 92,000 "," $ 88,000 "," $ 84,000 "," $ 80,000 "," $ 76,000 ",,,,,,
,AUDI,A3,1.8 3 PTAS,,,,,,,,,,,,," $ 81,000 "," $ 77,000 "," $ 73,000 "," $ 69,000 ",,,,
,AUDI,A3,1.8 3 PTAS AUT,,,,,,,,,,,,," $ 82,000 "," $ 78,000 "," $ 74,000 "," $ 70,000 ",,,,
,AUDI,A3,1.8 5 PTAS,,,,,,,,,,,,," $ 82,000 "," $ 78,000 ",,,,,,
,AUDI,A3,1.8T 150 HP 3 P,,,,,,,,,," $ 97,000 "," $ 93,000 "," $ 89,000 "," $ 85,000 "," $ 81,000 ",,,,,,
,AUDI,A3,1.8T 150 HP 3 P ATTRACTION,,,,,,,,,,,," $ 93,000 "," $ 89,000 "," $ 85,000 "," $ 81,000 "," $ 77,000 ",,,,
,AUDI,A3,1.8T 150 HP 3 P ATTRACTION AUT,,,,,,,,,,,," $ 94,000 "," $ 90,000 "," $ 86,000 "," $ 82,000 "," $ 78,000 ",,,,
,AUDI,A3,1.8T 150 HP 5 P,,,,,,,,," $ 102,000 "," $ 98,000 "," $ 94,000 "," $ 90,000 "," $ 86,000 "," $ 82,000 ",,,,,,
,AUDI,A3,1.8T 150 HP 5 P ATTRACTION,,,,,,,,,,,," $ 94,000 "," $ 90,000 "," $ 86,000 "," $ 82,000 ",,,,,
,AUDI,A3,1.8T 180 HP 3 P,,,,,,,,,," $ 101,000 "," $ 97,000 "," $ 93,000 "," $ 89,000 "," $ 85,000 "," $ 81,000 "," $ 77,000 ",,,,
,AUDI,A3,1.8T 180 HP 3 P AMBITION,,,,,,,,,," $ 104,000 "," $ 100,000 "," $ 96,000 ",,,,,,,,
,AUDI,A3,1.8T 180 HP 3 P AMBITION TIP.,,,,,,,,,," $ 108,000 "," $ 104,000 "," $ 100,000 ",,,,,,,,
,AUDI,A3,1.8T 180 HP 3 QUATTRO,,,,,,,,,,,,," $ 99,000 "," $ 95,000 ",,,,,,
,AUDI,A3,1.8T 180 HP 3 P TIPTRONIC,,,,,,,,,," $ 105,000 "," $ 101,000 "," $ 97,000 ",,,,,,,,
,AUDI,A3,1.8T 180 HP 5 P,,,,,,,,,," $ 103,000 "," $ 99,000 "," $ 95,000 ",,,,,,,,
,AUDI,A3,1.8T 180 HP 5 P AMBITION,,,,,,,,," $ 110,000 "," $ 106,000 "," $ 102,000 "," $ 98,000 ",,,,,,,,
,AUDI,A3,1.8T 180 HP 5 P AMBITION TIP.,,,,,,,,,," $ 110,000 "," $ 106,000 "," $ 102,000 ",,,,,,,,
,AUDI,A3,1.8T HP 5 P TRIPTONIC,,,,,,,,,," $ 107,000 "," $ 103,000 "," $ 99,000 ",,,,,,,,
,AUDI,A3,1.8T FSI," $ 395,000 "," $ 345,000 "," $ 305,000 "," $ 280,000 "," $ 225,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI L/13," $ 480,000 ",,,,,,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI S-TRONIC," $ 410,000 "," $ 360,000 "," $ 320,000 "," $ 290,000 "," $ 265,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI S-TRONIC L/13," $ 510,000 ",,,,,,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI S-TRONIC QUATTRO L/13," $ 560,000 ",,,,,,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI CABRIO," $ 500,000 "," $ 450,000 "," $ 400,000 ",,,,,,,,,,,,,,,,,
